Disease,Specialist
Fungal infection,Dermatologist
Allergy,Allergist
Peptic ulcer disease,Gastroenterologist
Hypertension,Cardiologist
Malaria,Internal Medicine
Hepatitis,Hepatologist
Osteoarthritis,Osteopathic
Pneumonia,Pulmonologist
Hypothyroidism,Endocrinologist
Diabetes,Endocrinologist
Heart attack,Cardiologist
Urinary tract infection,Internal Medicine
Vertigo,Neurologist
Common Cold,Internal Medicine
Migraine,Neurologist
AIDS,Internal Medicine
GERD,Gastroenterologist
Chronic cholestasis,Hepatologist
Drug Reaction,Allergist
Bronchial Asthma,Pulmonologist
Gastroenteritis,Gastroenterologist
Bronchial Asthma,Pulmonologist
Hypertension,Cardiologist
Migraine,Neurologist
Cervical spondylosis,Osteopathic
Paralysis (brain hemorrhage),Neurologist
Jaundice,Hepatologist
Chicken pox,Dermatologist
Dengue,Internal Medicine
Typhoid,Internal Medicine
hepatitis A,Hepatologist
Hepatitis B,Hepatologist
Hepatitis C,Hepatologist
Hepatitis D,Hepatologist
Hepatitis E,Hepatologist
Alcoholic hepatitis,Hepatologist
Tuberculosis,Pulmonologist
Common Cold,Internal Medicine
Pneumonia,Pulmonologist
Dimorphic hemorrhoids(piles),Gastroenterologist
Heart attack,Cardiologist
Varicose veins,Phlebologist
Hypothyroidism,Endocrinologist
Hyperthyroidism,Endocrinologist
Hypoglycemia,Endocrinologist
Osteoarthristis,Rheumatologists
Arthritis,Rheumatologists
(vertigo) Paroymsal Positional Vertigo,Neurologist
Acne,Dermatologists
Urinary tract infection,Urologist
Psoriasis,Dermatologists
Impetigo,Dermatologists
